ID	Moka Menu Bar	Selected Control	Parameter	Note
1	Access	&File	-	Standard MS Access menu
2	Access	&Edit	-	Standard MS Access menu
3	Access	&View	-	Standard MS Access menu
4	Access	&Insert	-	Standard MS Access menu
5	Access	&Tools	-	Standard MS Access menu
6	Access	&Window	-	Standard MS Access menu
7	Access	&Help	-	Standard MS Access menu
8	Patient	Enter new patient by PatientID	01 Add Patients	-
9	Patient	Enter new patient by spec no	0101 Add Patients By Spec	-
10	Patient	Enter new prenatal array	02521 DaybookArrays	-
11	Patient	Enter patient for NGS	0102 Add NGS Patient	-
12	Patient	Patients for research	0103 AddResearchPatient	-
13	Patient	DNA Extractions	1601 DNAExtractions	-
14	Patient	#DIVIDER LINE	-	-
15	Patient	Find patient by DNA	015 FindPatientByDNA	-
16	Patient	Find patient by PRU	014 FindPatientByPID	-
17	Patient	Find patient by spec no	012 FindPatientBySpecNo	-
18	Patient	Find patient by name	016 FindPatientByName	-
19	Patient	Find patient by DOB	018 FindPatientByDOB	-
20	Patient	Find patient in daybook	017 SearchDaybook	-
21	Patient	Find patient by result	0161 FindPatientByResult	-
22	Patient	#DIVIDER LINE	-	-
23	Patient	Find patient for authorisation	0141 FindPatientByPIDForAuth	-
24	Daybook	Assign tests	02501 DaybookTests	-
25	Daybook	Authorise tests	02502 DayBookTestsToAuthorise	-
26	Daybook	Edit assigned tests	02503 DaybookTestsEdit	-
27	Array	Booking in chart	985 BookingInCount	-
28	Array	Priority Array Requests	988 Priority Array Requests	-
29	Array	Orphans (no array requests)	5551 PatientStatusArrayStatusAudit	-
30	Array	Orphans (no DNA)	5552 PatientStatusDNA	-
31	Array	#DIVIDER LINE	-	-
32	Array	Arrays to check	560 Array Tests Needing Checking	-
33	Array	Open analysis folder	476 openfolderanalysis	-
34	Array	Checking chart	989 ArrayAnalysisChecks	-
35	Array	My checks	9302 MyChecks	-
36	Array	#DIVIDER LINE	-	-
37	Array	Array errors	291 ShowArrayErrors	-
38	Array	Add array error	290 AddArrayError	-
39	Runsheets	DNA - list all for prep	900 A_ DNASamplesForGel	-
40	Runsheets	DNA prep runsheet	DNAPrepRunsheet	Report
41	Runsheets	QF-PCR Abnormal DNAs (not for prep)	9191 PCRAbnormalDNAs	-
42	Runsheets	DNA puregene extraction runsheet	DNAExtractRunsheetA	Report
43	Runsheets	DNA tissues extraction runsheet	s_tissuesforextraction	Query
44	Runsheets	DNA conc runsheet	DNAConcRunsheet	Report
45	Runsheets	DNA tube labels	903 A_ DNASamplesForGelLabels	-
46	Runsheets	DNA prep check	919 DNACheck	-
47	Runsheets	Labelled DNAs - update Moka	9192 LabelledDNAs	-
48	Runsheets	#DIVIDER LINE	-	-
49	Runsheets	Open runsheets folder	474 openfolder	-
50	Runsheets	Check hyb partners	9235 OnHybRun	-
51	Runsheets	#DIVIDER LINE	-	-
52	Runsheets	A1 Select hyb pairs	9224 ChooseHybPartners	-
53	Runsheets	Search for DNAs	-	SUB-MENU
54	Runsheets | Search for DNAs	Fetal blood DNAs	92241 FetalBloodDNAs	-
55	Runsheets | Search for DNAs	Tissue DNAs	92242 TissueDNAs	-
56	Runsheets | Search for DNAs	EZ1 DNAs	92243 EZ1DNAs	-
57	Runsheets | Search for DNAs	Puregene DNAs	92244 PuregeneDNAs	-
58	Runsheets | Search for DNAs	Partners of prenatals	92245 PartnersOfPrenatals	-
59	Runsheets | Search for DNAs	Prenatal DNAs	92246 PrenatalArrayDNAs	-
60	Runsheets | Search for DNAs	Saliva DNAs	92247 SalivaDNAs	-
61	Runsheets	A2 Enter labelling details	9225 LabellingDetails	-
62	Runsheets	!Reset! Delete labelling details	92254 DeleteLabellingDetails	-
63	Runsheets	A3 Select DNAs for labelling	92251 DNAsForLabelling	-
64	Runsheets	A4 Assign labelled DNAs to hyb	92252 AssignLabelledDNAsToHyb	-
65	Runsheets	A5 Show labelling run	92253 ShowLabelling	-
66	Runsheets	A5.1 Attrib file	92255 AttribFile	-
67	Runsheets	A6 Upadte status to cleanup	9226 UpdateToCleanup	-
68	Runsheets	A7 Enter cleanup details	9227 EnterCleanupDetails	-
69	Runsheets	A8 Show hyb run	9228 HybRun	-
70	Runsheets	A9 Cleanup labels	9233 CleanupLabels	-
71	Runsheets	A9b Bravo cleanup labels	9233 BravoCleanupLabels	-
72	Runsheets	A10 Hyb labels	908 HybLabels	-
73	Runsheets	A10b Bravo hyb labels	908 HybLabels Bravo	-
74	Runsheets	A11 Update status to hybridising	9229 StatusToHybridising	-
75	Runsheets	!Re-jig! Hyb details	92256 RejigHybDetails	-
76	Analytics	Batched hyb IDs	9601 HybIDs	-
77	Analytics	Analytics paperwork	9243 AnalysisPaperwork	-
78	Analytics	Hyb list for test sheets	9245 HybList	-
79	Analytics	Batched QC singly	9241 CheckHybDetailSingly	-
80	Analytics	Batched array QC	924 CheckHybDetails	-
81	Analytics	Batched test files singly	9606 TestFilesSingly	-
82	Analytics	Batched test files list	9602 TestFiles	-
83	Analytics	Batched calls in priority order	9604 AnalysisOrderCalls	-
84	Analytics	Auto-import calls	2001 MokaImport	-
85	Analytics	Import prenatal calls	2002 ImportPreNat	-
86	Analytics	aPGD filter	2020 FEFilter	-
87	Analytics	#DIVIDER LINE	-	-
88	Analytics	Priority order for analytics review	9605 AnalysisOrder	-
89	Analytics	Outsanding inheritance	9607 OutstandingInheritance	-
90	Analytics	#DIVIDER LINE	-	-
91	Analytics	Analytics data entry chart	9871 AnalyticsDataEntry	-
92	Analytics	Analytics data checking chart	9872 AnalyticsDataChecking	-
93	Analytics	Analytics analysis chart	987 ArrayAnalyses	-
94	Analytics	My analyses	9300 MyAnalyses	-
95	Analytics	All hyb partner	9237 HybPartners	-
96	Analytics	#DIVIDER LINE	-	-
97	Analytics	QC	-	SUB-MENU
98	Analytics | QC	Array QC metrics (5000)	982 ArrayQCNumeric	-
99	Analytics | QC	Cy3 QC metrics graphs (slow)	9843 Cy3QC	-
100	Analytics | QC	Cy5 QC metrics graphs (slow)	9843 Cy5QC	-
101	Summaries	Ongoing array tests	551 OngoingArrayTests	-
102	Summaries	Limbos	554 Limbos	-
103	Summaries	Active patients	555 PatientStatusAudit	-
104	Summaries	Unauthorised rush arrays	572 UnreportedRushArrays	-
